,R1,R2,R3,R4,R5,R6,R7,R8,I1,I2,I3,I4,I5,I6,I7,I8,A1,A2,A3,A4,A5,A6,A7,A8,S1,S2,S3,S4,S5,S6,S7,S8,E1,E2,E3,E4,E5,E6,E7,E8,C1,C2,C3,C4,C5,C6,C7,C8,Strength
3937,1,1,1,1,1,1,1,1,2,2,2,2,1,2,1,2,2,3,5,4,5,2,2,4,4,5,3,3,5,4,5,3,2,4,3,4,3,3,3,4,1,3,2,2,1,2,1,1,4
3938,1,1,1,3,1,1,3,1,1,3,3,1,1,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,4,1,1,1,1,3,1,1,1
3939,3,1,1,1,1,1,1,1,2,5,4,1,1,4,1,1,2,2,3,2,2,4,1,3,4,4,4,3,5,3,4,4,2,2,2,3,2,3,2,3,2,2,1,2,2,2,2,3,4
3940,3,1,4,1,1,1,1,1,4,3,1,4,4,4,4,4,1,1,3,1,4,1,1,1,3,1,4,1,4,1,2,4,4,4,2,4,4,4,1,3,3,1,1,2,1,1,3,1,3
3941,4,4,2,3,3,2,-1,3,4,5,4,5,5,4,5,4,4,3,3,4,4,4,4,4,4,4,4,4,5,4,4,4,3,2,3,3,4,3,3,4,1,3,2,2,3,2,3,3,5
3942,2,3,1,4,1,1,1,1,4,4,4,3,4,4,4,4,3,4,3,3,4,3,4,4,5,5,4,4,5,5,5,5,3,2,2,1,2,2,2,2,-1,2,1,1,1,1,1,1,0
3943,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,5,5,3,5,4,5,1,4,3,4,4,3,4,4,4,4,2,4,4,2,2,4,2,4,2,4,2,2,4,3,2,3,4
3944,3,3,4,4,4,4,4,4,5,4,4,5,5,5,4,5,4,4,5,1,5,4,5,5,4,4,3,3,3,4,4,4,1,1,1,1,1,3,1,5,1,3,1,3,3,4,3,3,5
3945,4,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,3,4,2,2,2,2,2,2,3,3,3,2,3,3,3,4,3,4,3,3,4,4,3,3,2
3946,2,1,1,1,1,2,1,1,2,3,2,1,2,2,1,2,2,2,2,4,3,3,1,2,5,4,4,4,5,2,5,4,2,3,4,2,4,3,4,3,2,3,2,2,2,3,3,2,3
3947,1,1,-1,1,1,1,1,1,4,4,4,4,4,4,4,2,3,3,4,4,5,5,3,4,1,3,2,2,2,1,2,1,1,1,2,1,2,2,1,1,1,1,1,1,2,1,1,1,0
3948,1,1,1,1,1,1,1,1,5,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,3,5,3,3,3,1,3,3,1,3,1,1,-1,4,1,1,1,1,3,1,1,1,1,1,1
3949,4,1,1,1,1,4,4,1,5,3,3,3,3,4,2,1,1,2,1,1,1,1,1,1,4,4,4,4,4,2,1,2,4,2,5,1,3,4,4,1,1,1,1,1,1,3,1,1,3
3950,2,1,1,1,1,1,1,1,3,1,2,2,1,1,1,2,4,4,2,5,3,3,4,4,4,3,4,2,4,4,4,1,4,3,4,3,4,4,3,2,3,3,3,4,1,2,3,2,4
3951,3,1,1,1,1,1,1,1,2,3,3,2,2,4,1,1,5,4,4,5,5,5,4,4,3,5,4,1,4,4,5,2,1,4,1,4,1,3,1,4,1,1,1,1,1,1,1,1,4
3952,3,3,1,2,4,3,3,3,4,5,5,4,2,4,4,4,2,2,1,1,1,2,2,1,4,1,4,2,4,1,1,2,2,2,3,1,3,2,3,2,1,1,1,2,3,2,2,2,2
3953,1,2,1,3,1,2,1,1,4,4,4,4,4,3,2,1,4,4,3,4,4,4,1,2,3,4,2,1,3,2,3,2,1,4,4,1,4,4,1,2,1,1,3,2,3,3,1,3,0
3954,3,2,1,2,3,3,2,3,4,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,4,3,2,3,3,4,3,3,4,4,4,3,4,3,4,4,4,2,3,4,2,4,4,3,3
3955,2,3,2,3,2,3,2,3,3,4,4,3,4,3,3,5,5,5,5,4,5,5,4,4,3,4,3,3,3,3,4,3,1,3,1,3,3,3,2,3,1,2,1,2,2,2,2,1,0
3956,3,1,1,1,1,2,2,1,2,3,3,1,2,1,1,1,1,1,1,1,1,1,1,1,5,5,5,3,5,3,4,4,1,3,1,3,3,3,2,2,4,3,3,3,4,5,4,3,3
3957,3,1,3,5,2,4,4,3,4,3,4,4,3,3,3,4,1,2,2,2,3,3,4,2,2,-1,1,3,2,2,2,1,3,3,2,2,4,3,3,2,2,4,3,2,3,4,3,3,2
3958,3,1,1,1,2,2,1,2,3,3,1,4,1,4,1,5,4,5,4,5,5,5,4,5,4,4,2,4,3,2,4,3,2,2,5,2,5,3,3,3,3,1,4,3,3,3,3,3,4
3959,1,3,1,1,1,1,1,1,4,5,4,1,4,5,4,5,3,4,4,4,5,4,1,3,3,4,2,3,2,2,3,2,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,0
3960,1,1,1,1,1,1,1,1,1,3,3,1,1,1,1,1,3,5,1,4,5,5,5,4,2,3,1,1,2,1,1,1,1,1,1,1,1,1,1,5,1,2,1,1,1,1,1,1,1
3961,2,1,4,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5,5,3,5,2,3,2,5,4,5,5,2,1,1,1,1,2,2,1,0
3962,1,1,1,1,1,1,1,4,5,5,5,5,5,5,5,5,4,4,3,3,4,3,1,5,4,4,1,1,4,4,4,1,1,1,1,1,5,4,1,1,1,1,1,1,1,1,-1,1,0
3963,3,5,5,3,5,1,5,5,5,3,5,3,5,3,5,5,1,5,5,1,1,3,3,5,5,5,3,5,5,5,5,5,1,1,5,1,5,5,1,5,1,1,1,1,3,5,1,1,5
3964,2,1,1,1,1,1,1,1,3,1,1,3,1,1,2,1,1,2,1,2,3,2,1,1,3,3,4,3,4,3,3,3,2,2,3,2,3,2,3,2,3,2,3,3,3,3,3,3,3
3965,4,2,2,2,2,2,2,1,5,5,4,4,4,4,4,3,3,4,3,4,2,4,4,2,4,4,4,3,4,4,4,4,4,4,4,3,4,4,3,4,4,3,4,4,4,4,4,3,5
3966,3,1,4,2,1,2,1,1,4,4,4,3,4,3,3,2,2,5,4,5,5,2,4,2,4,5,2,2,2,2,3,2,1,2,4,2,4,2,2,3,2,2,2,3,3,2,2,2,0
3967,1,2,1,1,1,2,1,1,2,3,2,2,3,3,2,2,4,4,3,4,4,4,3,4,4,4,2,3,3,3,3,3,3,3,2,3,3,3,3,3,2,2,2,2,3,2,2,2,4
3968,2,4,3,1,1,2,1,2,4,3,4,3,4,3,3,3,2,4,4,4,5,3,4,4,4,3,4,4,4,2,4,3,2,1,2,2,2,2,3,2,2,1,2,2,2,1,2,1,0
3969,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,2,1,2,5,1,4,2,1,5,1,2,2,1,1,1,1,1,4,1,1,4,1,4,1,5,1,1,1,1,1,3,1,2,1
3970,3,2,4,3,2,2,2,3,5,4,4,4,4,3,4,3,3,3,3,3,3,2,3,3,4,3,5,3,4,4,3,3,3,2,3,2,3,3,4,3,3,3,4,2,3,2,4,3,5
3971,1,1,1,1,1,1,1,1,2,3,3,2,2,2,1,4,3,3,3,4,4,4,1,3,3,5,5,2,4,3,5,4,1,2,2,1,2,1,2,2,2,2,3,4,5,3,2,3,4
3972,1,1,3,1,1,1,1,1,2,2,2,1,1,1,1,1,2,3,3,4,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3973,3,4,4,2,4,4,3,2,4,4,4,4,4,4,3,4,4,2,4,3,2,3,4,4,4,1,2,4,2,2,2,1,2,2,2,2,4,2,2,2,1,2,1,1,2,2,2,1,2
3974,2,1,1,1,1,1,1,3,2,5,-1,3,3,2,1,1,1,3,1,2,2,2,1,1,5,5,5,3,5,5,5,5,2,2,2,2,2,2,2,2,4,4,3,4,3,2,2,2,3
3975,3,2,3,3,2,3,2,2,4,2,2,3,3,2,2,2,1,2,2,3,2,3,3,2,3,2,2,4,3,4,3,3,4,3,2,2,3,3,3,4,3,3,2,2,3,3,3,3,3
3976,5,3,5,4,3,2,4,3,4,4,2,5,3,4,3,4,3,4,2,3,3,4,4,3,5,5,4,4,4,3,5,4,4,5,5,1,5,4,4,3,4,5,5,4,5,5,5,5,5
3977,2,2,2,3,1,2,3,2,4,5,5,4,5,5,4,4,4,4,5,5,5,5,5,4,4,4,2,3,4,4,4,3,1,2,2,4,2,2,2,2,2,4,3,2,2,3,2,1,0
3978,5,5,-1,5,1,1,1,2,5,5,5,2,4,5,4,5,4,2,4,5,4,5,5,2,3,4,4,1,3,2,1,3,2,1,2,1,1,1,1,3,1,1,2,1,1,4,1,2,0
3979,1,1,3,4,1,3,1,1,5,3,3,5,5,4,4,4,1,3,4,2,5,2,2,2,1,4,2,1,1,2,1,1,1,3,1,1,1,2,1,1,1,1,1,1,3,3,1,1,0
3980,3,4,1,4,4,5,3,4,5,2,3,4,3,3,4,3,2,1,4,3,5,4,5,4,5,4,5,2,5,5,3,3,1,1,1,2,4,2,1,3,2,3,1,2,1,1,1,2,0
3981,2,1,1,-1,1,3,1,3,3,3,4,4,4,3,3,4,2,3,-1,2,2,3,2,4,3,3,1,3,3,2,4,1,2,1,3,2,4,2,3,3,2,1,2,3,3,1,1,2,0
3982,2,1,1,1,1,1,1,3,3,3,2,2,2,2,1,1,3,4,4,4,4,3,2,3,3,3,3,1,3,2,3,3,3,3,4,3,3,2,3,3,3,2,2,3,1,1,2,3,4
3983,1,1,1,1,1,3,1,1,4,5,5,3,5,5,5,3,1,3,5,1,3,5,5,5,3,4,1,4,3,3,3,1,4,1,3,1,4,1,3,3,3,1,1,3,1,3,1,1,0
3984,4,4,4,4,3,5,3,3,5,5,5,5,5,5,4,5,1,1,2,2,2,2,2,2,5,5,4,4,4,4,5,4,3,3,5,3,5,5,4,5,3,4,4,3,5,4,3,4,5
3985,1,1,1,1,1,1,1,1,1,4,4,1,1,3,1,2,1,3,5,3,4,1,1,4,1,5,1,4,1,1,1,3,3,1,4,3,3,3,3,2,3,4,5,4,5,4,3,4,3
3986,2,3,1,2,2,2,2,2,4,3,4,3,4,4,3,4,2,3,4,4,5,4,4,4,2,4,4,2,4,4,5,4,4,4,5,4,4,5,3,5,4,4,4,4,3,2,4,3,5
3987,1,4,1,1,1,2,1,3,2,4,2,3,1,2,2,1,1,1,5,1,5,1,5,2,5,4,4,2,4,4,4,2,3,1,2,1,4,1,4,1,1,1,1,1,1,1,1,1,4
3988,3,4,4,5,4,5,4,5,2,3,1,4,1,1,3,4,1,4,1,1,1,3,5,1,2,2,3,5,3,2,2,2,4,3,4,3,4,3,3,3,4,4,4,4,5,5,4,2,2
3989,5,3,1,4,1,2,1,3,3,3,4,3,1,3,2,2,3,4,5,4,4,4,5,4,3,3,4,5,4,4,4,4,3,3,5,5,5,4,4,4,4,5,3,5,2,2,2,3,5
3990,1,3,1,1,1,3,1,1,5,4,5,4,5,4,4,4,1,1,3,1,4,1,1,1,5,5,4,2,4,5,5,3,1,1,1,1,3,1,1,1,1,1,1,1,3,3,1,1,0
3991,1,1,1,2,2,2,2,2,5,1,1,2,4,1,2,2,5,5,5,5,5,4,4,5,5,5,5,4,5,5,5,5,1,2,3,2,4,3,3,5,5,1,5,5,2,2,5,3,5
3992,5,3,2,2,2,3,3,4,5,4,5,4,4,5,5,3,4,5,5,4,5,5,2,5,5,-1,3,4,5,5,5,5,4,3,5,5,3,4,3,5,4,3,5,5,3,4,4,2,5
3993,4,2,2,3,2,3,3,2,4,5,4,3,4,4,4,4,1,4,4,3,4,2,1,4,5,2,2,2,2,2,2,1,1,2,3,2,2,2,1,3,4,4,3,3,4,4,3,3,2
3994,1,1,1,1,1,1,1,1,3,4,4,1,4,4,4,1,1,1,1,1,1,1,4,1,5,4,4,4,4,4,4,4,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3995,1,3,1,4,1,3,1,1,4,4,5,4,5,4,5,4,3,3,5,5,3,5,1,4,3,3,1,4,1,3,5,1,1,1,1,1,1,1,4,1,1,1,1,1,4,3,1,1,0
3996,3,2,1,4,2,4,3,3,2,2,2,1,2,3,3,3,3,1,2,3,1,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,2,3,1,1,1
3997,3,2,1,2,1,1,1,3,3,1,1,5,1,1,1,3,3,3,5,3,3,3,4,4,4,5,4,4,4,4,1,1,3,3,2,3,1,2,1,4,3,3,2,4,4,3,3,4,3
3998,1,2,1,2,1,2,1,2,4,3,4,5,3,3,2,1,3,1,1,1,3,4,2,1,5,5,5,4,5,4,5,5,1,3,4,1,4,3,3,3,1,2,2,2,3,4,2,2,3
3999,2,3,2,2,2,2,2,2,4,4,4,3,3,4,3,4,1,3,2,2,3,2,3,3,5,4,3,2,3,4,5,3,3,2,3,2,3,3,4,3,3,3,2,2,2,3,3,3,3
4000,4,3,1,2,1,4,3,4,2,2,2,1,2,3,3,1,5,4,3,3,1,5,3,4,4,4,3,2,4,3,3,3,2,2,3,2,3,3,2,4,5,3,4,4,2,4,5,4,3
4001,1,1,1,5,1,2,3,1,4,1,4,5,4,1,1,4,4,5,1,5,5,1,4,4,1,3,5,1,4,4,2,1,1,1,2,1,5,1,2,4,1,2,1,1,3,1,2,1,0
4002,3,4,3,4,4,3,4,4,2,2,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,3,1,1,2,2,1,2,2,1,3,1,4,1,3,2,4,3,4,3,4,4,4,3,3
4003,2,2,3,3,1,3,2,3,3,5,4,4,2,4,2,4,4,5,3,3,5,4,3,3,5,5,4,4,5,5,5,4,2,1,4,3,3,2,3,2,2,2,3,2,4,4,3,3,5
4004,2,2,4,2,1,3,2,2,5,3,5,5,5,2,5,3,1,1,3,1,3,1,3,2,3,3,1,4,1,3,3,1,3,2,1,2,4,2,3,3,2,1,3,2,4,2,2,3,2
4005,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,3,1,1,1,1,1,1,3,5,1,1,1,1,1,2,5,3,1,1,3,1
4006,3,4,4,4,3,3,3,4,3,3,2,3,2,2,4,3,3,4,4,2,2,3,4,4,4,4,4,3,4,4,3,4,4,3,4,4,3,4,2,3,4,4,4,4,2,3,3,3,5
4007,2,2,2,2,2,2,3,1,4,4,4,4,4,4,4,2,4,3,4,4,-1,5,4,3,4,3,3,3,-1,4,4,3,4,3,3,2,3,3,3,3,2,4,3,2,2,2,1,2,0
4008,3,4,4,1,3,3,3,4,2,4,4,2,1,4,2,2,2,2,5,4,3,4,4,2,3,3,5,4,2,4,3,4,3,4,4,4,4,4,5,4,1,-1,2,1,1,3,4,1,5
4009,1,3,3,1,2,3,2,2,1,3,2,1,1,3,1,3,1,3,3,3,3,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4010,1,2,2,1,1,1,1,2,4,1,1,-1,1,3,1,1,1,1,2,-1,1,4,5,1,4,4,3,5,3,5,5,4,3,3,4,4,4,5,4,5,1,1,1,1,1,1,3,1,3
4011,3,1,1,1,1,1,1,1,4,1,4,1,4,4,3,4,1,1,1,1,3,1,1,1,1,3,1,1,1,1,1,3,1,2,1,1,4,1,3,1,1,4,1,3,4,4,3,4,1
4012,3,1,1,1,1,1,2,1,4,3,3,3,3,4,3,4,1,1,2,2,3,4,2,3,3,3,3,3,2,3,1,1,1,2,4,2,2,3,2,1,4,3,3,3,2,3,3,3,3
4013,2,1,3,1,1,1,1,1,5,3,3,5,4,2,3,1,1,1,1,4,5,1,1,1,4,3,4,5,5,4,5,2,3,2,2,2,2,2,4,2,3,1,1,2,4,3,3,1,3
4014,4,3,3,4,2,2,3,2,4,5,5,4,5,5,4,5,4,5,5,5,5,5,4,5,5,4,4,3,5,4,4,4,2,3,1,2,2,2,3,2,4,3,4,3,4,4,3,3,5
4015,3,3,3,4,3,5,2,4,4,4,3,3,3,2,2,2,1,2,1,1,2,2,4,2,4,5,3,5,4,4,3,3,3,2,4,3,3,1,2,2,3,3,3,4,1,3,2,3,3
4016,1,2,1,3,1,3,2,1,2,3,2,2,1,1,1,1,1,4,5,4,5,2,1,5,5,4,5,2,5,3,4,2,2,2,3,3,3,1,3,5,3,3,3,1,1,3,3,2,4
4017,3,1,1,2,1,1,1,1,4,4,1,2,1,2,1,1,1,3,3,3,5,2,2,2,4,2,3,3,5,3,3,3,3,4,2,2,3,3,3,3,3,4,4,3,4,4,3,4,3
4018,1,2,2,2,2,3,2,1,2,2,2,3,2,2,2,2,2,2,2,2,3,3,3,2,3,2,2,4,2,1,2,1,2,2,2,3,3,2,2,1,1,2,1,1,2,2,1,1,1
4019,3,1,1,1,1,1,1,1,1,5,4,1,1,4,1,4,5,5,5,4,5,4,5,5,4,4,4,4,4,1,3,2,3,2,1,4,2,1,1,2,3,1,2,3,1,1,1,2,4
4020,3,1,1,1,1,1,1,1,4,4,4,3,3,4,3,3,1,1,3,1,1,1,3,1,4,3,4,4,4,1,1,4,1,1,3,3,3,1,4,3,4,3,4,4,1,4,4,4,3
4021,1,2,1,1,1,3,1,3,2,3,2,2,3,3,2,2,4,3,4,4,5,5,3,4,4,4,3,4,5,3,4,3,1,1,2,1,2,1,1,2,2,2,3,2,3,2,2,2,4
4022,3,3,1,4,3,3,3,1,3,3,3,3,3,3,3,3,4,1,3,3,3,4,3,3,3,3,3,3,3,3,4,1,3,4,3,3,3,2,3,4,3,3,4,3,3,2,1,3,2
4023,4,2,1,3,2,2,2,2,4,2,2,4,2,2,1,3,5,5,4,5,5,5,1,5,5,5,4,2,5,5,5,5,5,4,4,3,5,5,4,5,4,4,4,3,4,5,4,5,5
4024,2,4,4,3,4,3,3,3,4,4,4,4,5,4,4,4,3,5,4,4,5,4,4,5,5,3,4,4,4,4,4,4,1,1,4,2,4,2,3,3,1,2,2,1,2,3,1,3,5
4025,2,4,1,3,3,2,1,4,5,5,5,1,3,5,4,1,5,5,2,5,5,5,5,1,3,1,1,4,2,4,1,1,2,1,3,4,4,2,5,1,3,1,3,3,4,1,5,1,0
4026,1,1,1,1,1,1,-1,1,1,2,1,5,1,1,1,1,1,4,5,4,5,4,4,4,2,3,1,1,5,5,1,1,1,4,1,4,1,5,1,1,1,3,1,1,1,1,1,1,4
4027,1,3,1,2,1,3,1,1,4,3,3,4,3,3,3,2,2,2,2,1,3,1,1,2,3,4,4,5,5,4,4,3,1,1,1,3,-1,3,1,3,1,1,1,1,1,1,1,1,0
4028,4,3,1,1,1,1,1,1,4,4,1,2,1,2,2,2,5,2,4,4,3,5,1,4,5,5,4,4,4,5,5,4,3,3,4,4,3,4,4,5,4,3,4,4,4,4,3,3,5
4029,1,4,1,1,1,1,1,1,4,4,4,1,1,1,1,1,2,3,5,4,5,3,1,5,4,4,4,1,4,4,4,4,1,1,2,2,2,2,2,2,1,3,1,3,1,1,2,1,4
4030,5,1,1,1,1,1,1,1,5,3,1,5,5,1,1,1,1,5,1,5,5,1,1,1,5,5,5,3,5,5,5,4,5,5,5,5,5,5,5,1,3,3,3,5,3,3,3,1,3
4031,4,2,2,2,1,1,1,1,2,3,2,1,2,3,2,4,4,5,4,2,4,3,3,5,3,3,4,1,4,3,2,2,1,2,3,2,3,1,2,3,1,2,1,1,2,1,1,3,4
4032,2,2,1,2,1,2,1,1,3,3,3,4,4,2,4,2,2,3,4,4,5,4,1,4,4,4,3,2,4,4,4,3,1,1,1,1,1,2,3,2,2,1,2,2,3,3,2,2,0
4033,5,5,3,2,5,5,5,5,3,2,1,5,5,5,2,5,4,5,4,5,5,5,5,5,5,5,4,5,5,5,5,5,5,1,4,5,5,5,4,5,5,5,5,5,5,5,5,5,5
4034,3,2,1,1,1,3,2,1,5,3,3,5,4,2,3,1,4,3,3,4,4,5,2,3,5,5,5,4,4,1,2,4,3,2,2,1,3,1,2,2,2,3,2,2,3,2,2,2,0
4035,2,1,1,1,1,1,1,1,3,5,5,2,5,5,5,1,2,1,5,2,5,1,2,3,3,2,2,2,2,1,2,1,3,4,2,4,2,4,2,1,2,1,1,2,1,2,1,1,0
4036,1,1,1,1,1,1,3,1,5,5,5,3,5,5,5,3,3,3,3,3,1,3,1,5,5,5,5,5,5,5,5,5,1,1,5,5,5,5,5,1,5,1,3,3,3,3,3,3,5
4037,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,3,3,3,1,1,3,1,3,1,3,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4038,1,2,1,1,1,2,1,1,4,5,5,4,4,5,3,4,2,4,4,5,5,4,4,2,2,4,3,2,3,2,3,2,1,1,1,1,1,1,1,3,1,1,1,1,1,1,-1,1,0
4039,3,1,1,1,1,1,1,1,2,1,2,1,3,2,2,1,2,4,4,4,4,4,5,1,5,2,4,3,5,1,1,3,2,2,3,2,5,4,2,1,2,3,3,2,3,2,4,2,4
4040,2,1,1,1,1,1,1,1,2,2,1,3,1,1,1,1,3,4,4,3,4,3,4,3,2,3,4,1,4,1,3,3,1,2,2,3,1,1,2,3,1,1,2,1,1,1,1,1,4
4041,1,1,1,1,1,1,1,1,5,1,1,5,5,1,4,1,1,1,1,1,3,1,1,1,5,5,5,4,5,4,5,4,1,3,1,4,1,1,1,1,1,1,1,4,1,3,2,1,3
4042,4,3,3,5,4,5,5,3,4,4,3,4,4,4,5,3,2,3,3,2,2,1,3,3,4,3,3,2,4,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,5,5,3,3,2
4043,1,1,1,1,1,1,1,1,2,3,1,1,1,3,1,1,1,2,3,4,2,3,1,1,3,4,1,2,3,1,1,1,1,1,5,2,4,2,2,3,4,3,4,4,2,2,2,3,3
4044,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4045,1,1,1,3,1,3,1,1,5,4,4,4,4,5,4,3,5,5,4,4,5,5,5,5,5,3,2,3,2,4,4,3,1,3,3,3,2,3,2,3,1,3,3,1,1,2,1,1,0
4046,3,1,4,1,3,1,4,1,2,2,3,1,2,1,1,1,1,4,1,3,3,2,1,1,4,3,3,3,3,3,3,2,2,4,4,3,5,2,3,2,3,2,3,5,4,4,3,3,3
4047,1,1,1,1,1,1,1,1,5,5,5,3,4,3,5,1,1,3,1,1,4,1,1,1,5,4,4,4,4,1,3,3,3,1,4,1,1,1,1,1,5,1,3,-1,3,1,1,3,0
4048,3,3,4,2,2,4,3,3,2,4,4,4,4,4,4,4,3,4,5,5,5,5,5,5,5,4,4,2,4,2,1,1,1,3,2,2,2,2,2,2,1,2,1,2,2,1,2,2,0
4049,3,4,2,3,3,3,3,3,4,5,5,4,4,4,4,4,3,2,3,4,4,5,3,3,3,5,4,3,4,3,4,3,3,2,3,3,3,1,2,3,3,3,2,2,3,3,2,2,5
4050,4,4,1,4,2,4,1,4,5,5,4,5,4,4,4,5,4,5,5,5,5,5,5,5,2,5,4,2,2,4,4,3,1,1,3,2,1,1,1,4,1,1,2,1,4,2,1,1,0
4051,2,1,1,2,2,4,2,-1,3,4,4,3,3,4,2,4,2,4,5,4,5,3,2,5,2,3,2,3,4,3,2,2,2,2,4,2,3,4,1,5,1,2,2,2,2,2,1,2,0
4052,2,1,1,1,1,1,-1,1,5,3,3,4,4,4,3,3,3,4,3,4,4,4,3,3,1,4,1,3,1,1,1,1,2,2,3,1,1,1,1,1,1,2,1,2,1,1,1,1,0
4053,3,3,3,5,4,3,4,3,3,3,3,4,3,3,3,4,2,2,2,3,2,3,5,3,3,1,1,3,3,1,1,1,3,4,2,1,5,4,2,4,4,2,2,1,3,3,2,3,2
4054,5,4,5,1,3,5,4,5,1,1,1,1,1,1,1,5,1,1,1,4,4,1,5,4,5,5,5,5,5,1,4,3,1,1,5,1,5,1,1,1,4,5,1,5,1,1,1,5,3
4055,4,2,4,1,1,3,1,1,5,5,4,4,3,5,2,5,3,5,5,5,5,5,5,4,4,3,2,5,4,2,4,1,2,1,2,2,4,2,1,4,3,1,1,1,3,3,1,1,0
4056,3,3,3,2,1,3,2,3,3,5,1,2,1,4,2,2,3,2,3,3,1,3,5,2,4,3,5,5,5,5,3,3,3,5,3,1,5,3,5,4,3,-1,2,3,2,3,3,3,3
4057,1,1,1,3,1,3,1,1,4,1,1,-1,1,1,2,1,4,4,1,4,4,4,2,1,5,5,5,4,5,4,5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,4
4058,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,5,1,3,5,3,1,2,4,1,1,3,4,1,1,1,1,1,3,1,4,1,1,1,1,1,1,2,2,3,1,1,1
4059,4,1,1,1,2,1,3,1,5,1,1,5,4,1,5,1,4,1,4,3,1,1,1,1,5,3,5,1,5,1,4,3,4,1,4,2,5,4,5,1,2,1,4,2,3,4,4,1,3
4060,2,1,1,1,1,1,1,1,5,1,1,3,3,1,2,1,1,3,1,3,4,4,5,2,3,3,5,4,4,3,5,3,1,4,1,3,4,5,3,2,3,2,1,4,1,1,1,1,4
4061,3,2,4,4,2,3,3,4,2,2,2,2,2,2,2,3,2,3,4,5,3,5,4,3,5,4,5,4,4,5,5,4,2,3,3,3,5,3,2,3,3,3,3,4,4,2,3,2,5
4062,3,4,1,3,1,3,3,3,1,3,1,1,1,1,1,1,1,1,3,1,1,1,3,1,3,4,1,4,3,4,4,3,1,4,1,4,3,4,3,3,3,3,1,4,3,1,1,1,3
4063,5,1,1,5,1,1,1,1,3,5,5,1,4,5,4,5,1,1,5,1,1,1,1,5,4,5,5,1,5,5,5,5,1,1,1,1,4,1,1,1,1,1,1,4,4,4,1,1,0
4064,3,1,1,1,1,1,1,1,2,2,2,4,4,2,4,1,4,5,4,3,5,4,4,4,5,3,4,2,5,1,3,3,4,2,4,3,5,4,4,4,1,2,1,1,1,1,1,2,4
4065,3,1,4,1,1,1,1,1,4,1,3,4,4,3,3,3,1,1,1,1,1,2,1,1,2,3,3,1,4,-1,1,1,2,1,2,1,5,2,1,1,3,2,3,3,4,3,4,3,1
4066,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,5,4,4,5,2,4,2,1,2,2,3,4,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4067,1,1,1,1,1,1,1,1,4,1,1,1,1,2,1,1,4,1,1,3,1,1,3,3,4,1,3,4,4,3,3,1,1,1,1,1,4,1,1,1,4,1,1,4,1,1,1,3,1
4068,4,4,3,4,4,4,5,3,2,3,3,2,1,2,1,4,3,3,4,3,2,5,3,5,4,3,3,2,4,5,4,3,3,5,5,4,5,5,4,5,3,4,5,4,2,5,4,5,5
4069,5,1,5,4,1,4,4,1,5,5,5,1,4,5,4,5,3,5,4,1,2,5,5,4,1,5,1,2,2,4,5,1,5,2,5,1,5,5,2,4,2,4,5,1,5,5,1,4,5
4070,2,1,2,2,2,2,2,2,3,4,3,2,2,4,3,2,1,2,2,1,-1,1,1,2,4,4,2,2,4,3,4,2,1,2,2,2,3,2,2,3,2,2,2,2,4,3,2,2,3
4071,3,4,4,3,3,4,4,3,4,5,4,2,2,3,2,3,1,2,1,2,2,2,4,3,3,3,4,4,3,4,3,2,3,3,2,2,3,2,2,3,2,3,3,3,3,3,3,3,2
4072,2,2,2,1,1,2,2,2,4,4,4,4,4,4,4,4,3,4,3,3,4,4,3,4,4,3,4,4,4,2,3,4,2,1,2,2,1,2,2,2,1,2,2,2,2,2,2,2,0
