,R1,R4,R6,I1,I2,I3,I4,I5,I6,I7,I8,A1,A2,A3,A4,A5,A6,A7,A8,S1,S3,S4,S5,S6,S7,S8,E3,E5,E8,C5,Strength
90,1,1,1,2,4,1,1,1,1,1,1,5,4,1,4,5,5,1,1,3,3,1,5,3,1,5,1,1,1,1,A
91,3,2,3,4,4,3,2,3,3,3,4,3,1,1,3,3,3,3,1,3,3,4,2,2,3,1,3,3,2,4,C
92,4,1,4,4,4,4,5,4,4,4,4,1,4,2,4,4,2,5,4,4,4,4,4,2,2,2,4,5,2,1,I
93,3,1,4,5,4,5,5,5,4,4,4,4,4,5,5,4,4,1,4,5,-1,5,5,5,5,5,4,3,3,3,I
94,1,1,1,4,1,1,3,1,1,1,1,1,1,1,1,1,4,1,4,1,3,1,4,4,4,2,1,1,3,1,S
95,1,4,1,5,2,2,4,4,1,4,2,1,2,1,2,5,1,5,1,2,1,1,1,1,1,1,5,5,5,4,E
96,1,1,4,4,5,5,1,5,4,3,2,3,3,2,4,5,4,4,2,5,3,1,4,4,4,2,2,3,3,2,I
97,3,2,2,3,3,2,3,2,2,2,2,1,3,2,2,2,3,2,3,5,5,3,5,4,4,4,4,4,4,3,S
98,2,1,2,2,3,4,1,1,5,1,4,1,3,5,3,4,4,4,5,2,1,3,2,4,4,1,4,3,3,1,A
99,4,4,3,2,2,2,4,3,3,3,4,1,2,3,4,2,4,3,3,1,4,3,3,2,2,3,3,3,2,4,C
100,4,1,3,5,4,4,5,4,3,4,3,3,2,3,2,1,4,1,2,4,4,5,5,1,4,4,2,2,3,3,I
101,2,1,1,2,4,4,1,4,4,2,1,4,5,4,5,5,5,5,4,4,4,2,5,4,5,2,2,3,3,3,A
102,5,1,1,3,3,3,2,3,2,3,1,2,4,4,3,3,1,3,3,1,2,2,1,2,3,1,4,4,5,1,E
103,4,4,4,5,5,5,4,5,5,5,4,3,2,4,3,4,4,3,3,4,1,3,2,4,4,2,3,3,4,3,I
104,1,1,1,4,3,2,4,3,1,4,1,1,1,4,2,1,1,1,1,3,4,3,3,1,1,1,1,2,1,1,I
105,3,2,2,4,4,2,1,3,2,2,2,3,2,3,4,4,4,1,4,2,1,2,1,1,2,1,1,1,4,5,A
106,3,3,3,5,5,4,2,2,5,4,5,3,5,5,5,5,5,4,5,4,2,3,3,2,3,1,2,1,5,1,A
107,2,3,3,3,4,2,2,3,3,2,3,2,4,5,3,5,2,4,3,1,2,2,2,3,3,3,2,2,4,2,A
108,1,1,1,5,4,4,4,4,2,3,1,5,5,1,4,4,2,2,2,4,5,1,5,3,3,3,2,1,1,1,I
109,1,1,1,1,5,1,1,1,3,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,C
110,2,2,3,3,3,1,1,1,4,3,2,4,5,4,5,5,4,4,5,5,4,5,5,5,5,1,3,2,4,1,A
111,3,1,1,1,5,3,1,1,3,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,2,3,1,A
112,1,1,1,3,3,3,1,1,3,1,1,3,3,3,3,5,3,3,3,1,1,1,1,1,1,1,1,1,1,1,A
113,3,5,3,4,4,4,5,4,4,5,4,4,4,5,4,4,5,2,4,3,2,2,4,1,4,3,2,1,4,5,I
114,1,1,1,4,1,1,1,1,3,1,1,4,4,3,4,5,4,3,3,4,3,2,3,3,3,1,1,1,3,1,A
115,3,2,4,3,4,5,2,2,3,3,2,1,1,1,2,2,2,1,2,5,2,2,2,2,4,2,3,4,3,2,I
116,3,3,1,4,4,4,3,4,3,3,3,1,1,1,3,2,3,4,1,4,3,4,3,1,1,2,3,3,4,4,I
117,1,2,1,3,3,1,2,1,3,1,3,4,4,4,4,2,5,4,4,4,5,4,5,2,5,5,3,2,2,2,S
118,1,1,3,3,3,3,3,1,3,1,2,1,2,3,4,4,4,3,2,4,3,3,4,3,3,2,2,2,2,1,S
119,3,1,2,4,2,2,1,2,5,2,3,3,5,5,1,3,3,1,3,3,3,2,1,2,2,2,4,4,1,4,A
120,3,2,3,3,2,2,5,2,2,2,1,3,4,4,4,5,5,2,4,4,1,3,2,2,3,2,4,3,4,2,A
121,1,4,4,3,2,4,4,3,3,3,4,1,4,5,3,4,2,4,5,5,2,4,4,3,3,1,5,4,3,3,A
122,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,4,2,4,1,3,4,1,3,3,2,S
123,1,1,1,4,3,2,4,2,2,3,2,4,3,5,4,3,5,2,4,4,5,3,3,4,4,3,3,2,4,1,S
124,3,2,1,5,5,5,5,5,4,4,4,1,5,3,5,5,4,5,4,4,1,2,4,1,1,2,4,5,-1,1,I
125,1,3,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,3,5,3,3,3,1,1,1,1,5,S
126,2,2,1,4,4,2,3,3,3,3,2,3,4,5,3,5,3,5,5,5,4,3,5,5,5,3,4,4,4,2,S
127,5,1,5,4,1,1,1,1,5,1,1,1,1,5,1,1,1,1,5,1,5,1,3,1,4,4,1,1,1,1,R
128,3,2,1,3,1,2,1,1,1,1,1,1,1,4,3,1,1,3,1,2,4,2,5,3,1,1,2,4,2,1,E
129,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,1,1,5,3,5,1,5,5,5,5,1,1,1,1,S
130,1,1,1,5,2,3,5,5,1,4,1,4,4,3,5,5,4,5,1,4,5,4,5,3,4,2,3,5,1,4,A
131,2,4,2,4,3,4,5,4,5,4,4,1,2,4,3,3,3,4,1,1,2,2,1,2,1,2,1,1,4,4,I
132,2,5,5,2,5,5,4,5,5,5,4,4,2,2,5,5,5,3,2,2,3,3,3,2,4,1,3,2,4,4,I
133,1,1,1,5,5,4,4,4,5,4,3,2,2,4,4,4,2,4,4,3,3,3,3,4,4,4,1,1,2,1,I
134,1,2,3,5,5,5,4,5,5,4,3,4,4,3,4,4,5,3,5,3,2,4,3,3,3,3,3,2,3,1,I
135,1,1,3,5,4,3,3,4,3,3,2,2,2,5,3,4,3,4,3,3,1,2,2,2,3,2,2,2,2,1,I
136,1,1,1,2,3,3,4,4,4,3,4,3,3,3,3,3,3,2,3,3,3,2,3,2,3,2,4,4,3,2,I
137,1,4,3,5,3,3,4,4,3,3,3,1,2,3,3,3,3,3,3,3,5,5,5,5,3,4,3,2,3,2,S
138,3,2,2,2,2,1,3,2,3,1,4,4,2,3,2,2,2,4,2,3,2,4,2,1,4,2,4,4,3,4,E
139,1,1,1,2,5,4,4,4,4,2,1,2,1,2,3,4,4,1,3,1,1,2,3,4,4,4,1,2,3,2,I
140,4,2,4,5,3,3,4,2,2,2,2,2,2,3,2,2,3,4,2,3,4,4,3,3,4,4,4,4,2,2,S
141,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,2,1,3,1,4,1,1,C
142,1,1,1,3,4,3,1,3,1,5,1,3,1,1,2,4,5,1,1,4,1,4,3,4,1,2,4,5,1,4,C
143,1,2,2,1,4,1,3,1,1,1,1,5,3,2,4,3,4,4,2,5,3,4,4,5,5,2,4,3,3,1,S
144,1,5,4,3,2,2,2,2,2,2,1,3,1,5,3,2,4,1,3,4,2,1,2,1,1,3,2,4,5,3,R
145,3,1,1,3,1,1,1,1,1,1,1,4,4,1,1,1,5,1,1,5,3,5,4,5,1,1,2,4,4,1,S
146,2,1,1,3,3,2,1,1,2,1,1,1,1,1,1,3,5,1,1,3,3,3,3,3,3,3,1,1,3,1,S
147,1,2,1,3,3,3,4,2,4,2,4,2,4,3,4,4,4,3,4,3,2,3,3,3,3,3,2,2,1,1,A
148,4,1,1,5,5,5,4,5,5,5,3,5,5,5,5,5,5,2,4,5,4,4,4,5,5,3,4,4,3,4,I
149,5,4,4,1,1,1,1,1,1,1,5,3,5,5,5,5,5,5,5,4,3,5,4,3,4,1,3,3,3,4,A
150,1,1,1,1,4,4,1,2,4,2,3,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,4,4,4,2,E
151,5,1,1,5,3,5,5,5,1,5,1,5,1,1,5,1,5,1,1,1,5,5,5,1,1,1,1,1,1,1,I
152,3,5,1,3,5,5,4,5,4,3,4,1,4,4,4,5,4,1,1,4,1,1,2,1,3,4,1,1,1,5,I
153,1,2,1,4,3,3,4,2,3,3,2,1,2,4,2,2,1,1,2,3,4,4,3,5,5,3,3,2,2,1,S
154,1,1,1,3,4,2,1,2,4,2,4,3,3,5,5,5,4,3,5,4,4,4,4,3,4,4,3,2,4,1,A
155,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,R
156,2,2,3,5,5,5,5,5,2,5,1,1,1,3,2,2,4,3,4,4,4,1,4,1,1,1,3,1,1,1,I
157,3,1,1,4,4,1,4,1,3,4,1,1,1,1,1,4,1,-1,1,1,1,1,1,2,1,1,1,4,1,1,I
158,3,4,3,1,2,2,3,2,2,2,2,1,2,2,2,2,2,4,3,3,4,4,3,4,3,3,2,3,3,3,R
159,3,4,4,2,4,4,3,3,2,2,2,1,1,2,2,2,1,1,1,1,2,2,1,1,2,1,2,2,1,2,R
160,2,2,3,4,2,2,2,2,3,2,4,4,3,1,3,3,3,2,3,3,1,2,2,4,4,2,4,4,2,3,S
161,1,3,1,4,5,5,5,5,5,5,5,1,1,1,1,1,1,3,1,2,3,2,3,1,1,1,1,2,1,1,I
162,1,1,3,3,3,3,3,3,3,2,1,3,3,2,4,5,4,2,3,5,4,3,4,3,4,2,1,2,3,3,S
163,5,4,2,5,5,5,5,5,5,5,4,2,2,1,1,2,2,4,2,5,1,4,4,5,5,4,5,4,5,4,I
164,4,5,5,1,4,1,1,1,1,1,1,1,1,1,3,2,1,1,1,1,2,1,1,3,2,1,2,1,1,2,R
165,1,1,1,1,1,3,4,1,1,1,1,1,4,5,5,5,1,4,4,3,4,1,2,1,3,2,1,1,1,1,A
166,3,1,3,3,2,3,1,1,3,1,1,3,3,4,2,5,3,1,2,5,1,2,3,3,3,1,4,5,3,3,E
167,1,1,1,1,1,1,1,1,1,1,1,1,5,4,3,4,5,1,4,1,1,1,1,2,1,1,4,5,1,3,A
168,5,4,4,5,4,2,2,2,2,1,3,1,4,4,3,1,2,5,1,4,1,5,5,5,1,2,4,5,4,4,R
169,1,1,4,5,4,4,4,3,4,3,3,5,5,5,5,4,5,5,5,5,4,5,4,5,5,2,4,4,3,1,A
170,3,-1,3,2,5,5,1,5,4,4,1,1,4,1,5,5,5,2,3,4,4,3,5,3,2,3,4,3,3,2,S
171,2,2,3,4,3,4,4,4,3,4,4,2,2,2,3,3,3,3,2,4,2,3,3,2,3,3,2,4,2,4,I
172,2,1,2,3,4,4,1,2,3,3,2,4,4,4,4,3,5,3,4,1,2,3,2,4,2,2,2,2,2,1,A
173,1,1,1,1,4,1,1,1,1,1,1,1,1,1,5,1,5,1,1,1,3,1,1,1,1,1,4,4,3,1,A
174,4,5,5,1,5,5,5,5,5,5,5,5,1,5,4,5,5,4,5,2,1,1,1,1,1,1,1,1,1,5,I
175,2,2,2,5,5,2,4,4,4,4,3,5,3,4,5,5,5,1,4,1,3,2,5,3,5,5,2,4,5,1,A
176,1,4,5,4,3,3,3,3,4,4,5,2,2,5,3,4,4,1,5,4,3,3,3,3,5,3,3,3,2,4,I
177,2,2,1,5,4,2,3,2,4,2,2,5,5,2,5,5,5,2,5,4,4,4,5,5,4,4,4,4,5,4,A
178,3,2,4,3,4,5,3,4,4,3,1,2,1,2,1,2,1,1,1,4,5,5,5,3,3,3,3,3,2,2,S
179,1,1,1,3,3,4,1,1,1,1,1,3,5,4,4,4,5,1,3,4,4,4,4,3,2,3,1,1,1,1,A
180,3,2,2,1,1,1,2,1,1,1,1,1,1,2,5,1,3,3,1,4,3,2,2,3,2,1,4,4,3,4,E
181,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,3,4,3,3,4,4,1,4,S
182,2,1,2,1,3,3,2,2,2,1,3,2,5,3,4,5,3,1,4,4,2,3,3,2,4,2,4,4,2,3,A
183,1,1,1,4,4,4,3,3,3,3,4,1,1,1,1,2,2,1,1,3,2,2,3,4,4,3,4,4,3,3,I
184,5,4,2,3,1,1,5,3,3,3,3,2,2,1,1,1,5,5,1,4,3,5,4,5,4,1,5,5,1,3,S
